               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10818,            0.088569,            0.061085,                   0,                   0,                   0,                   0,            0.082503,            0.089523,            0.049021,               3e-05,               3e-05,             0.09973
                   1,            0.097499,            0.085853,            0.055377,                   0,                   0,                   0,                   0,            0.081863,            0.091621,             0.04912,          6.9998e-05,          6.9998e-05,             0.09937
                   2,            0.084881,            0.097958,             0.04976,                   0,                   0,                   0,                   0,            0.080761,            0.095102,            0.049189,          0.00010999,          0.00010999,             0.09901
                   3,             0.10569,             0.10135,            0.059989,                   0,                   0,                   0,                   0,            0.079211,            0.099976,            0.049246,          0.00014997,          0.00014997,             0.09865
                   4,               0.115,            0.099591,            0.067062,                   0,                   0,                   0,                   0,            0.077569,             0.10491,            0.049221,          0.00018993,          0.00018993,             0.09829
                   5,             0.11394,             0.10583,            0.065931,                   0,                   0,                   0,                   0,            0.075812,             0.10969,            0.049254,          0.00022987,          0.00022987,             0.09793
                   6,               0.101,             0.12053,            0.060672,                   0,                   0,                   0,                   0,            0.074329,             0.11282,            0.049476,          0.00026979,          0.00026979,             0.09757
                   7,             0.10046,              0.1121,            0.059862,           0.0011363,           0.0019048,          0.00020647,           2.807e-05,            0.072699,             0.11424,            0.049824,          0.00030967,          0.00030967,             0.09721
                   8,              0.1192,             0.11276,            0.072223,          0.00093924,            0.014593,           0.0005249,          6.5944e-05,            0.074524,             0.10778,            0.049357,          0.00034951,          0.00034951,             0.09685
                   9,             0.10732,             0.12188,            0.067964,           0.0074746,            0.014048,           0.0018906,          0.00048749,            0.072356,             0.10932,            0.050049,          0.00038931,          0.00038931,            0.096489
                  10,            0.097099,             0.10931,            0.060616,           0.0091857,            0.043889,           0.0076381,           0.0012913,            0.071241,             0.10571,            0.050778,          0.00042906,          0.00042906,            0.096129
